pagerank,pagerank_verified,url,proposed_pagerank,contains_link,is_success
1,True,http://www.vietcd.com/solution.html,1,False,True
1,True,http://www.60891336.com/,1,False,True
2,True,http://www.globalcomputersoft.com/partners4.html,2,True,True
0,False,http://www.vseznajka.info/web-design-&-development.htm,2,True,True
2,True,http://hpc-consortium.net/seo,2,True,True
1,True,http://google4gso.com/about,1,True,True
2,True,http://www.masyouthkc.org/about-us.html,2,True,True
3,True,http://ne-elite.net/,3,True,True
3,True,http://online-computer-supports.yolasite.com/,3,False,True
2,True,http://msnar.org/,2,True,True
1,True,http://brightdownloads.com/low-cost-web-design-and-seo-quote/,1,True,True
2,True,http://www.sampleinterviewquestion.info/black-hat-white-hat-and-gray-hat-seo,2,True,True
2,True,http://e-seoservices.com/adwords-screenshot-full.html,2,True,True
0,False,http://www.penny-pincher.org/1/ ,1,True,True
0,False,http://ronoracle.com/SSL-VPN.html ,2,True,True
1,True,http://sebinkml.com/bookshelf-speakers.html,1,True,True
1,True,http://t-retrievers.com/onsite-seo.html,1,False,True
1,True,http://www.hellbentforhollywood.com/hellbentforhollywood/Voting_Results.html,1,True,True
1,True,http://www.districtmatters.com/2007/05/eastern-market-day-after.html,1,True,True
1,True,http://www.scriptstack.com/,1,True,True
1,True,http://tawagnadirect.us/gadgets.html,1,True,True
3,True,http://www.the-best-of-multimedia.de/,3,True,True
4,True,http://www.e-contract-u.info/,4,True,True
3,True,http://www.massovka.info/,3,True,True
4,True,http://www.yproxy.info/,4,True,True
5,True,http://www.aqaad.info,5,True,True
3,True,http://www.alpacapal.org/,3,True,True
3,True,http://www.wearitproud.org/,3,True,True
3,True,http://www.scholzundkrieger.de/,3,True,True
3,True,http://www.root-admin.de/,3,True,True
3,True,http://www.multiwise.info,3,True,True
4,True,http://www.multispex.net/,4,True,True
2,False,http://www.georgepandolph.com/,3,True,True
3,True,http://www.akupunktura-boljesic.com/,3,True,True
3,True,http://www.onboardmyself.info/,3,True,True
3,True,http://www.braunschweigcongress.de/,3,True,True
3,True,http://www.wearefullofroyalblood.com/,3,True,True
1,True,http://www.hirebrown.com/,1,True,True
2,True,http://www.unity-software.com/software-development,2,True,True
1,True,http://seoexpetindia.info/Website_Design.html,1,True,True
1,True,http://www.getvb.com/visual-basic-2010/,1,True,True
1,True,http://spartacusbloodandsandstreaming.com/webdesign.html,1,True,True
1,True,http://www.sarawebpopularity.com/web_development.htm,1,True,True
1,True,http://xwhsolutions.com/,1,True,True
1,True,http://www.colourfour.com/apple-ipad-2-is-enhanced-edition-of-its-predecessor.html,1,True,True
2,True,http://www.itezo.org/,2,True,True
0,False,http://www.seojaipur.com/about%20us.html,1,True,True
2,True,http://www.human-search-engine.com/,2,True,True
1,True,http://www.23pixels.com/more-web-resources/,1,True,True
1,True,http://www.delon-dalcan.com/products.html,1,True,True
1,True,http://www.seosolutionsjaipur.com/directory_submission.php,1,True,True
1,True,http://hyoungseobi.com/Products.html,1,True,True
2,True,http://www.hazmatlinks.info/,2,True,True
